row_count,field_count,field_name_values,issuedate_min,issuedate_max,new_class_unique_count,new_class_unique_values,new_type_unique_count,new_type_unique_values,usetype_unique_count,usetype_values,units_unique_count,units_unique_values,value_unique_count,value_unique_values,sqft_unique_count,sqft_unique_values,nbrhood_unique_count,nbrhood_unique_values
,,,,,,,,,,,,,,29100,,807,,
,,,,,,,,,,,,,,29160,,812,,
,,,,,,,,,,,,,,29194,,814,,
,,,,,,,,,,,,,,29224,,816,,
,,,,,,,,,,,,,,29326,,818,,
,,,,,,,,,,,,,,29330,,826,,
,,,,,,,,,,,,,,29340,,830,,
,,,,,,,,,,,,,,29385,,836,,
,,,,,,,,,,,,,,29400,,840,,
,,,,,,,,,,,,,,29511,,841,,
,,,,,,,,,,,,,,29540,,842,,
,,,,,,,,,,,,,,29570,,846,,
,,,,,,,,,,,,,,29656,,847,,
,,,,,,,,,,,,,,29723,,850,,
,,,,,,,,,,,,,,29790,,856,,
,,,,,,,,,,,,,,29825,,858,,
,,,,,,,,,,,,,,29929,,861,,
,,,,,,,,,,,,,,29999,,862,,
,,,,,,,,,,,,,,30000,,864,,
,,,,,,,,,,,,,,30001,,866,,
,,,,,,,,,,,,,,30087,,868,,
,,,,,,,,,,,,,,30110,,869,,
,,,,,,,,,,,,,,30128,,870,,
,,,,,,,,,,,,,,30169,,872,,
,,,,,,,,,,,,,,30262,,873,,
,,,,,,,,,,,,,,30570,,875,,
,,,,,,,,,,,,,,30828,,876,,
,,,,,,,,,,,,,,30883,,880,,
,,,,,,,,,,,,,,30978,,881,,
,,,,,,,,,,,,,,30986,,882,,
,,,,,,,,,,,,,,31000,,884,,
,,,,,,,,,,,,,,31068,,885,,
,,,,,,,,,,,,,,31137,,887,,
,,,,,,,,,,,,,,31320,,888,,
,,,,,,,,,,,,,,31373,,890,,
,,,,,,,,,,,,,,31500,,895,,
,,,,,,,,,,,,,,31930,,896,,
,,,,,,,,,,,,,,31937,,899,,
,,,,,,,,,,,,,,32000,,900,,
,,,,,,,,,,,,,,32145,,901,,
,,,,,,,,,,,,,,32194,,902,,
,,,,,,,,,,,,,,32297,,903,,
,,,,,,,,,,,,,,32315,,904,,
,,,,,,,,,,,,,,32480,,905,,
,,,,,,,,,,,,,,32487,,906,,
,,,,,,,,,,,,,,32500,,908,,
,,,,,,,,,,,,,,32533,,912,,
,,,,,,,,,,,,,,32620,,913,,
,,,,,,,,,,,,,,32657,,914,,
,,,,,,,,,,,,,,32851,,916,,
,,,,,,,,,,,,,,32887,,920,,
,,,,,,,,,,,,,,32931,,922,,
,,,,,,,,,,,,,,33000,,923,,
,,,,,,,,,,,,,,33048,,924,,
,,,,,,,,,,,,,,33091,,926,,
,,,,,,,,,,,,,,33233,,927,,
,,,,,,,,,,,,,,33300,,930,,
,,,,,,,,,,,,,,33449,,933,,
,,,,,,,,,,,,,,33600,,934,,
,,,,,,,,,,,,,,33634,,936,,
,,,,,,,,,,,,,,33900,,937,,
,,,,,,,,,,,,,,34000,,938,,
,,,,,,,,,,,,,,34080,,939,,
,,,,,,,,,,,,,,34187,,940,,
,,,,,,,,,,,,,,34238,,941,,
,,,,,,,,,,,,,,34266,,942,,
,,,,,,,,,,,,,,34283,,945,,
,,,,,,,,,,,,,,34406,,946,,
,,,,,,,,,,,,,,34407,,947,,
,,,,,,,,,,,,,,34413,,949,,
,,,,,,,,,,,,,,34428,,950,,
,,,,,,,,,,,,,,34484,,951,,
,,,,,,,,,,,,,,34500,,952,,
,,,,,,,,,,,,,,34520,,954,,
,,,,,,,,,,,,,,34779,,958,,
,,,,,,,,,,,,,,34850,,960,,
,,,,,,,,,,,,,,34927,,961,,
,,,,,,,,,,,,,,34962,,962,,
,,,,,,,,,,,,,,34984,,966,,
