row_count,field_count,field_name_values,issuedate_min,issuedate_max,new_class_unique_count,new_class_unique_values,new_type_unique_count,new_type_unique_values,usetype_unique_count,usetype_values,units_unique_count,units_unique_values,value_unique_count,value_unique_values,sqft_unique_count,sqft_unique_values,nbrhood_unique_count,nbrhood_unique_values
,,,,,,,,,,,,,,265497,,,,
,,,,,,,,,,,,,,265578,,,,
,,,,,,,,,,,,,,265670,,,,
,,,,,,,,,,,,,,265796,,,,
,,,,,,,,,,,,,,265813,,,,
,,,,,,,,,,,,,,265852,,,,
,,,,,,,,,,,,,,265924,,,,
,,,,,,,,,,,,,,265955,,,,
,,,,,,,,,,,,,,265967,,,,
,,,,,,,,,,,,,,265983,,,,
,,,,,,,,,,,,,,266000,,,,
,,,,,,,,,,,,,,266023,,,,
,,,,,,,,,,,,,,266090,,,,
,,,,,,,,,,,,,,266094,,,,
,,,,,,,,,,,,,,266245,,,,
,,,,,,,,,,,,,,266276,,,,
,,,,,,,,,,,,,,266315,,,,
,,,,,,,,,,,,,,266414,,,,
,,,,,,,,,,,,,,266448,,,,
,,,,,,,,,,,,,,266468,,,,
,,,,,,,,,,,,,,266482,,,,
,,,,,,,,,,,,,,266485,,,,
,,,,,,,,,,,,,,266492,,,,
,,,,,,,,,,,,,,266503,,,,
,,,,,,,,,,,,,,266516,,,,
,,,,,,,,,,,,,,266529,,,,
,,,,,,,,,,,,,,266564,,,,
,,,,,,,,,,,,,,266576,,,,
,,,,,,,,,,,,,,266590,,,,
,,,,,,,,,,,,,,266675,,,,
,,,,,,,,,,,,,,266701,,,,
,,,,,,,,,,,,,,266741,,,,
,,,,,,,,,,,,,,266772,,,,
,,,,,,,,,,,,,,266800,,,,
,,,,,,,,,,,,,,266802,,,,
,,,,,,,,,,,,,,266890,,,,
,,,,,,,,,,,,,,266998,,,,
,,,,,,,,,,,,,,267036,,,,
,,,,,,,,,,,,,,267122.7,,,,
,,,,,,,,,,,,,,267124,,,,
,,,,,,,,,,,,,,267130,,,,
,,,,,,,,,,,,,,267165,,,,
,,,,,,,,,,,,,,267184.32,,,,
,,,,,,,,,,,,,,267191,,,,
,,,,,,,,,,,,,,267253,,,,
,,,,,,,,,,,,,,267263,,,,
,,,,,,,,,,,,,,267283,,,,
,,,,,,,,,,,,,,267326,,,,
,,,,,,,,,,,,,,267334,,,,
,,,,,,,,,,,,,,267343,,,,
,,,,,,,,,,,,,,267351,,,,
,,,,,,,,,,,,,,267404,,,,
,,,,,,,,,,,,,,267468,,,,
,,,,,,,,,,,,,,267570,,,,
,,,,,,,,,,,,,,267581,,,,
,,,,,,,,,,,,,,267602,,,,
,,,,,,,,,,,,,,267613,,,,
,,,,,,,,,,,,,,267629,,,,
,,,,,,,,,,,,,,267681,,,,
,,,,,,,,,,,,,,267744,,,,
,,,,,,,,,,,,,,267766,,,,
,,,,,,,,,,,,,,267819,,,,
,,,,,,,,,,,,,,267976,,,,
,,,,,,,,,,,,,,268011,,,,
,,,,,,,,,,,,,,268024,,,,
,,,,,,,,,,,,,,268057,,,,
,,,,,,,,,,,,,,268088,,,,
,,,,,,,,,,,,,,268090,,,,
,,,,,,,,,,,,,,268100,,,,
,,,,,,,,,,,,,,268123,,,,
,,,,,,,,,,,,,,268157,,,,
,,,,,,,,,,,,,,268218,,,,
,,,,,,,,,,,,,,268250,,,,
,,,,,,,,,,,,,,268315,,,,
,,,,,,,,,,,,,,268339,,,,
,,,,,,,,,,,,,,268416,,,,
,,,,,,,,,,,,,,268427,,,,
,,,,,,,,,,,,,,268434,,,,
,,,,,,,,,,,,,,268514,,,,
,,,,,,,,,,,,,,268540,,,,
,,,,,,,,,,,,,,268558,,,,
,,,,,,,,,,,,,,268575,,,,
,,,,,,,,,,,,,,268614,,,,
,,,,,,,,,,,,,,268651,,,,
,,,,,,,,,,,,,,268700,,,,
,,,,,,,,,,,,,,268755,,,,
,,,,,,,,,,,,,,268768,,,,
,,,,,,,,,,,,,,268777,,,,
,,,,,,,,,,,,,,268858,,,,
,,,,,,,,,,,,,,268879,,,,
,,,,,,,,,,,,,,268886,,,,
,,,,,,,,,,,,,,268918,,,,
,,,,,,,,,,,,,,268949,,,,
,,,,,,,,,,,,,,268968,,,,
,,,,,,,,,,,,,,268970,,,,
,,,,,,,,,,,,,,269012,,,,
,,,,,,,,,,,,,,269367,,,,
,,,,,,,,,,,,,,269472,,,,
,,,,,,,,,,,,,,269497,,,,
,,,,,,,,,,,,,,269501,,,,
,,,,,,,,,,,,,,269546,,,,
,,,,,,,,,,,,,,269549,,,,
,,,,,,,,,,,,,,269628,,,,
,,,,,,,,,,,,,,269632,,,,
,,,,,,,,,,,,,,269651,,,,
,,,,,,,,,,,,,,269675,,,,
,,,,,,,,,,,,,,269685,,,,
,,,,,,,,,,,,,,269710,,,,
,,,,,,,,,,,,,,269749,,,,
,,,,,,,,,,,,,,269764,,,,
,,,,,,,,,,,,,,269776,,,,
,,,,,,,,,,,,,,269790,,,,
,,,,,,,,,,,,,,269851,,,,
,,,,,,,,,,,,,,269864,,,,
,,,,,,,,,,,,,,269876,,,,
,,,,,,,,,,,,,,269885,,,,
,,,,,,,,,,,,,,269913,,,,
,,,,,,,,,,,,,,269931,,,,
,,,,,,,,,,,,,,269942,,,,
,,,,,,,,,,,,,,269949,,,,
,,,,,,,,,,,,,,269952,,,,
,,,,,,,,,,,,,,269967,,,,
,,,,,,,,,,,,,,270000,,,,
,,,,,,,,,,,,,,270024,,,,
,,,,,,,,,,,,,,270156,,,,
,,,,,,,,,,,,,,270204,,,,
,,,,,,,,,,,,,,270214,,,,
,,,,,,,,,,,,,,270245,,,,
,,,,,,,,,,,,,,270248,,,,
,,,,,,,,,,,,,,270254,,,,
,,,,,,,,,,,,,,270371,,,,
,,,,,,,,,,,,,,270399,,,,
,,,,,,,,,,,,,,270438,,,,
,,,,,,,,,,,,,,270455,,,,
,,,,,,,,,,,,,,270463,,,,
,,,,,,,,,,,,,,270479,,,,
,,,,,,,,,,,,,,270484,,,,
,,,,,,,,,,,,,,270498,,,,
,,,,,,,,,,,,,,270635,,,,
,,,,,,,,,,,,,,270667,,,,
,,,,,,,,,,,,,,270676,,,,
,,,,,,,,,,,,,,270722,,,,
,,,,,,,,,,,,,,270734,,,,
,,,,,,,,,,,,,,270805,,,,
,,,,,,,,,,,,,,270824,,,,
,,,,,,,,,,,,,,270849,,,,
,,,,,,,,,,,,,,270951,,,,
,,,,,,,,,,,,,,271043,,,,
,,,,,,,,,,,,,,271131,,,,
,,,,,,,,,,,,,,271189,,,,
,,,,,,,,,,,,,,271197,,,,
,,,,,,,,,,,,,,271203,,,,
,,,,,,,,,,,,,,271204,,,,
,,,,,,,,,,,,,,271219,,,,
,,,,,,,,,,,,,,271291,,,,
,,,,,,,,,,,,,,271316,,,,
,,,,,,,,,,,,,,271377,,,,
,,,,,,,,,,,,,,271440,,,,
,,,,,,,,,,,,,,271487,,,,
,,,,,,,,,,,,,,271580,,,,
,,,,,,,,,,,,,,271636,,,,
,,,,,,,,,,,,,,271645,,,,
,,,,,,,,,,,,,,271662,,,,
,,,,,,,,,,,,,,271665,,,,
,,,,,,,,,,,,,,271718,,,,
,,,,,,,,,,,,,,271726,,,,
,,,,,,,,,,,,,,271747,,,,
,,,,,,,,,,,,,,271796,,,,
,,,,,,,,,,,,,,271868,,,,
,,,,,,,,,,,,,,271946,,,,
,,,,,,,,,,,,,,271960,,,,
,,,,,,,,,,,,,,271996,,,,
,,,,,,,,,,,,,,272022,,,,
,,,,,,,,,,,,,,272026,,,,
,,,,,,,,,,,,,,272060,,,,
,,,,,,,,,,,,,,272134,,,,
,,,,,,,,,,,,,,272187,,,,
,,,,,,,,,,,,,,272196,,,,
,,,,,,,,,,,,,,272212,,,,
,,,,,,,,,,,,,,272263,,,,
,,,,,,,,,,,,,,272286,,,,
,,,,,,,,,,,,,,272304,,,,
,,,,,,,,,,,,,,272558,,,,
,,,,,,,,,,,,,,272671,,,,
,,,,,,,,,,,,,,272709,,,,
,,,,,,,,,,,,,,272716,,,,
,,,,,,,,,,,,,,272724,,,,
,,,,,,,,,,,,,,272765,,,,
,,,,,,,,,,,,,,272787,,,,
,,,,,,,,,,,,,,272879,,,,
,,,,,,,,,,,,,,272896,,,,
,,,,,,,,,,,,,,272899,,,,
,,,,,,,,,,,,,,272914,,,,
,,,,,,,,,,,,,,272962,,,,
,,,,,,,,,,,,,,273022,,,,
,,,,,,,,,,,,,,273065,,,,
,,,,,,,,,,,,,,273106,,,,
,,,,,,,,,,,,,,273153,,,,
,,,,,,,,,,,,,,273161.46,,,,
,,,,,,,,,,,,,,273226,,,,
,,,,,,,,,,,,,,273279,,,,
,,,,,,,,,,,,,,273405,,,,
,,,,,,,,,,,,,,273450,,,,
,,,,,,,,,,,,,,273519,,,,
,,,,,,,,,,,,,,273539,,,,
,,,,,,,,,,,,,,273553,,,,
,,,,,,,,,,,,,,273612,,,,
,,,,,,,,,,,,,,273627,,,,
,,,,,,,,,,,,,,273647,,,,
,,,,,,,,,,,,,,273649,,,,
,,,,,,,,,,,,,,273745,,,,
,,,,,,,,,,,,,,273795,,,,
,,,,,,,,,,,,,,273903,,,,
,,,,,,,,,,,,,,273996,,,,
,,,,,,,,,,,,,,274000,,,,
,,,,,,,,,,,,,,274034,,,,
,,,,,,,,,,,,,,274080,,,,
,,,,,,,,,,,,,,274085,,,,
,,,,,,,,,,,,,,274096,,,,
,,,,,,,,,,,,,,274133,,,,
,,,,,,,,,,,,,,274141,,,,
,,,,,,,,,,,,,,274177,,,,
,,,,,,,,,,,,,,274245,,,,
,,,,,,,,,,,,,,274428,,,,
,,,,,,,,,,,,,,274540,,,,
,,,,,,,,,,,,,,274560,,,,
,,,,,,,,,,,,,,274573,,,,
,,,,,,,,,,,,,,274595,,,,
,,,,,,,,,,,,,,274613,,,,
,,,,,,,,,,,,,,274623,,,,
,,,,,,,,,,,,,,274655,,,,
,,,,,,,,,,,,,,274762,,,,
,,,,,,,,,,,,,,274843,,,,
,,,,,,,,,,,,,,274844,,,,
,,,,,,,,,,,,,,274845,,,,
,,,,,,,,,,,,,,274925,,,,
,,,,,,,,,,,,,,275000,,,,
,,,,,,,,,,,,,,275011,,,,
,,,,,,,,,,,,,,275086,,,,
,,,,,,,,,,,,,,275167,,,,
,,,,,,,,,,,,,,275174,,,,
,,,,,,,,,,,,,,275203,,,,
,,,,,,,,,,,,,,275204,,,,
,,,,,,,,,,,,,,275274,,,,
,,,,,,,,,,,,,,275352,,,,
,,,,,,,,,,,,,,275367,,,,
,,,,,,,,,,,,,,275371,,,,
,,,,,,,,,,,,,,275394,,,,
,,,,,,,,,,,,,,275426,,,,
,,,,,,,,,,,,,,275497,,,,
,,,,,,,,,,,,,,275517,,,,
,,,,,,,,,,,,,,275528,,,,
,,,,,,,,,,,,,,275688,,,,
,,,,,,,,,,,,,,275710,,,,
,,,,,,,,,,,,,,275725,,,,
,,,,,,,,,,,,,,275749,,,,
,,,,,,,,,,,,,,275888,,,,
,,,,,,,,,,,,,,275996,,,,
,,,,,,,,,,,,,,276109,,,,
,,,,,,,,,,,,,,276179,,,,
,,,,,,,,,,,,,,276256,,,,
,,,,,,,,,,,,,,276325,,,,
,,,,,,,,,,,,,,276395,,,,
,,,,,,,,,,,,,,276416,,,,
,,,,,,,,,,,,,,276426,,,,
,,,,,,,,,,,,,,276480,,,,
,,,,,,,,,,,,,,276542,,,,
,,,,,,,,,,,,,,276673,,,,
,,,,,,,,,,,,,,276734,,,,
,,,,,,,,,,,,,,276835,,,,
,,,,,,,,,,,,,,276842,,,,
,,,,,,,,,,,,,,276856,,,,
,,,,,,,,,,,,,,276885,,,,
,,,,,,,,,,,,,,276929,,,,
,,,,,,,,,,,,,,276950,,,,
,,,,,,,,,,,,,,276970,,,,
,,,,,,,,,,,,,,276986,,,,
,,,,,,,,,,,,,,277015,,,,
,,,,,,,,,,,,,,277067,,,,
,,,,,,,,,,,,,,277079,,,,
,,,,,,,,,,,,,,277132,,,,
,,,,,,,,,,,,,,277160,,,,
,,,,,,,,,,,,,,277166,,,,
,,,,,,,,,,,,,,277175,,,,
,,,,,,,,,,,,,,277213,,,,
,,,,,,,,,,,,,,277266,,,,
,,,,,,,,,,,,,,277334,,,,
,,,,,,,,,,,,,,277342,,,,
,,,,,,,,,,,,,,277348,,,,
,,,,,,,,,,,,,,277355,,,,
,,,,,,,,,,,,,,277432,,,,
,,,,,,,,,,,,,,277436,,,,
,,,,,,,,,,,,,,277539,,,,
,,,,,,,,,,,,,,277551,,,,
,,,,,,,,,,,,,,277553,,,,
,,,,,,,,,,,,,,277619,,,,
,,,,,,,,,,,,,,277622,,,,
,,,,,,,,,,,,,,277646,,,,
,,,,,,,,,,,,,,277661,,,,
,,,,,,,,,,,,,,277670,,,,
,,,,,,,,,,,,,,277745,,,,
,,,,,,,,,,,,,,277753,,,,
,,,,,,,,,,,,,,277756,,,,
,,,,,,,,,,,,,,277764,,,,
,,,,,,,,,,,,,,277768,,,,
,,,,,,,,,,,,,,277808,,,,
,,,,,,,,,,,,,,277849,,,,
,,,,,,,,,,,,,,277855,,,,
,,,,,,,,,,,,,,277863,,,,
,,,,,,,,,,,,,,277867,,,,
,,,,,,,,,,,,,,277894,,,,
,,,,,,,,,,,,,,277897,,,,
,,,,,,,,,,,,,,278006,,,,
,,,,,,,,,,,,,,278111,,,,
,,,,,,,,,,,,,,278154,,,,
,,,,,,,,,,,,,,278211,,,,
,,,,,,,,,,,,,,278226,,,,
,,,,,,,,,,,,,,278238,,,,
,,,,,,,,,,,,,,278246,,,,
,,,,,,,,,,,,,,278321,,,,
,,,,,,,,,,,,,,278328,,,,
,,,,,,,,,,,,,,278425,,,,
,,,,,,,,,,,,,,278459,,,,
,,,,,,,,,,,,,,278593,,,,
,,,,,,,,,,,,,,278611,,,,
,,,,,,,,,,,,,,278682,,,,
,,,,,,,,,,,,,,278689,,,,
,,,,,,,,,,,,,,278694,,,,
,,,,,,,,,,,,,,278719,,,,
,,,,,,,,,,,,,,278722,,,,
,,,,,,,,,,,,,,278813,,,,
,,,,,,,,,,,,,,278844,,,,
,,,,,,,,,,,,,,278849,,,,
,,,,,,,,,,,,,,278917,,,,
,,,,,,,,,,,,,,278953,,,,
,,,,,,,,,,,,,,278981,,,,
,,,,,,,,,,,,,,278992,,,,
,,,,,,,,,,,,,,278994,,,,
,,,,,,,,,,,,,,279012,,,,
,,,,,,,,,,,,,,279019,,,,
,,,,,,,,,,,,,,279034,,,,
,,,,,,,,,,,,,,279035,,,,
,,,,,,,,,,,,,,279082,,,,
,,,,,,,,,,,,,,279123,,,,
,,,,,,,,,,,,,,279217,,,,
,,,,,,,,,,,,,,279282,,,,
,,,,,,,,,,,,,,279285,,,,
,,,,,,,,,,,,,,279301,,,,
,,,,,,,,,,,,,,279332,,,,
,,,,,,,,,,,,,,279415,,,,
,,,,,,,,,,,,,,279418,,,,
,,,,,,,,,,,,,,279441,,,,
,,,,,,,,,,,,,,279458,,,,
,,,,,,,,,,,,,,279549,,,,
,,,,,,,,,,,,,,279612,,,,
,,,,,,,,,,,,,,279621,,,,
,,,,,,,,,,,,,,279687,,,,
,,,,,,,,,,,,,,279738,,,,
,,,,,,,,,,,,,,279754,,,,
,,,,,,,,,,,,,,279780,,,,
,,,,,,,,,,,,,,279806,,,,
,,,,,,,,,,,,,,279900,,,,
,,,,,,,,,,,,,,279961,,,,
,,,,,,,,,,,,,,279968,,,,
,,,,,,,,,,,,,,279990,,,,
,,,,,,,,,,,,,,280000,,,,
,,,,,,,,,,,,,,280104,,,,
,,,,,,,,,,,,,,280272,,,,
,,,,,,,,,,,,,,280299,,,,
,,,,,,,,,,,,,,280316,,,,
,,,,,,,,,,,,,,280326,,,,
,,,,,,,,,,,,,,280341,,,,
,,,,,,,,,,,,,,280423,,,,
,,,,,,,,,,,,,,280426,,,,
,,,,,,,,,,,,,,280487,,,,
,,,,,,,,,,,,,,280490,,,,
,,,,,,,,,,,,,,280492,,,,
,,,,,,,,,,,,,,280556,,,,
,,,,,,,,,,,,,,280719,,,,
,,,,,,,,,,,,,,280796,,,,
,,,,,,,,,,,,,,280825,,,,
,,,,,,,,,,,,,,280919,,,,
,,,,,,,,,,,,,,281147,,,,
,,,,,,,,,,,,,,281194,,,,
,,,,,,,,,,,,,,281288,,,,
,,,,,,,,,,,,,,281300,,,,
,,,,,,,,,,,,,,281304,,,,
,,,,,,,,,,,,,,281313,,,,
,,,,,,,,,,,,,,281379,,,,
,,,,,,,,,,,,,,281408,,,,
,,,,,,,,,,,,,,281455,,,,
,,,,,,,,,,,,,,281501,,,,
,,,,,,,,,,,,,,281568,,,,
,,,,,,,,,,,,,,281639,,,,
,,,,,,,,,,,,,,281739,,,,
,,,,,,,,,,,,,,281747,,,,
,,,,,,,,,,,,,,281749,,,,
,,,,,,,,,,,,,,281912,,,,
,,,,,,,,,,,,,,282006,,,,
,,,,,,,,,,,,,,282047,,,,
,,,,,,,,,,,,,,282096,,,,
,,,,,,,,,,,,,,282101,,,,
,,,,,,,,,,,,,,282149,,,,
,,,,,,,,,,,,,,282201,,,,
,,,,,,,,,,,,,,282287,,,,
,,,,,,,,,,,,,,282293,,,,
,,,,,,,,,,,,,,282360,,,,
,,,,,,,,,,,,,,282452,,,,
,,,,,,,,,,,,,,282470,,,,
,,,,,,,,,,,,,,282513,,,,
,,,,,,,,,,,,,,282584,,,,
,,,,,,,,,,,,,,282588,,,,
,,,,,,,,,,,,,,282606,,,,
,,,,,,,,,,,,,,282623,,,,
,,,,,,,,,,,,,,282750,,,,
,,,,,,,,,,,,,,282803,,,,
,,,,,,,,,,,,,,282811,,,,
,,,,,,,,,,,,,,283000,,,,
,,,,,,,,,,,,,,283005,,,,
,,,,,,,,,,,,,,283022,,,,
,,,,,,,,,,,,,,283133,,,,
,,,,,,,,,,,,,,283134,,,,
,,,,,,,,,,,,,,283202,,,,
,,,,,,,,,,,,,,283217,,,,
,,,,,,,,,,,,,,283229,,,,
,,,,,,,,,,,,,,283230,,,,
,,,,,,,,,,,,,,283265,,,,
,,,,,,,,,,,,,,283313,,,,
,,,,,,,,,,,,,,283325,,,,
,,,,,,,,,,,,,,283403,,,,
,,,,,,,,,,,,,,283475,,,,
,,,,,,,,,,,,,,283559,,,,
,,,,,,,,,,,,,,283567,,,,
,,,,,,,,,,,,,,283647,,,,
,,,,,,,,,,,,,,283673,,,,
,,,,,,,,,,,,,,283690,,,,
,,,,,,,,,,,,,,283699,,,,
,,,,,,,,,,,,,,283721,,,,
,,,,,,,,,,,,,,283731,,,,
,,,,,,,,,,,,,,283811,,,,
,,,,,,,,,,,,,,283868,,,,
,,,,,,,,,,,,,,283886,,,,
,,,,,,,,,,,,,,283911,,,,
,,,,,,,,,,,,,,283952,,,,
,,,,,,,,,,,,,,283980,,,,
,,,,,,,,,,,,,,284123,,,,
,,,,,,,,,,,,,,284130,,,,
,,,,,,,,,,,,,,284160,,,,
,,,,,,,,,,,,,,284225,,,,
,,,,,,,,,,,,,,284240,,,,
,,,,,,,,,,,,,,284312,,,,
,,,,,,,,,,,,,,284342,,,,
,,,,,,,,,,,,,,284441,,,,
,,,,,,,,,,,,,,284609,,,,
,,,,,,,,,,,,,,284715,,,,
,,,,,,,,,,,,,,284728,,,,
,,,,,,,,,,,,,,284786,,,,
,,,,,,,,,,,,,,284831,,,,
,,,,,,,,,,,,,,284886,,,,
,,,,,,,,,,,,,,284990,,,,
,,,,,,,,,,,,,,285000,,,,
,,,,,,,,,,,,,,285064,,,,
,,,,,,,,,,,,,,285157,,,,
,,,,,,,,,,,,,,285206,,,,
,,,,,,,,,,,,,,285219,,,,
,,,,,,,,,,,,,,285236,,,,
,,,,,,,,,,,,,,285246,,,,
,,,,,,,,,,,,,,285324,,,,
,,,,,,,,,,,,,,285331,,,,
,,,,,,,,,,,,,,285350,,,,
,,,,,,,,,,,,,,285359,,,,
,,,,,,,,,,,,,,285496,,,,
,,,,,,,,,,,,,,285500,,,,
,,,,,,,,,,,,,,285507,,,,
,,,,,,,,,,,,,,285647,,,,
,,,,,,,,,,,,,,285733,,,,
,,,,,,,,,,,,,,285739,,,,
,,,,,,,,,,,,,,285760,,,,
,,,,,,,,,,,,,,285771,,,,
,,,,,,,,,,,,,,285774,,,,
,,,,,,,,,,,,,,285793,,,,
,,,,,,,,,,,,,,285838,,,,
,,,,,,,,,,,,,,285904,,,,
,,,,,,,,,,,,,,285923,,,,
,,,,,,,,,,,,,,285940,,,,
,,,,,,,,,,,,,,285967,,,,
,,,,,,,,,,,,,,286013,,,,
,,,,,,,,,,,,,,286043,,,,
,,,,,,,,,,,,,,286056,,,,
,,,,,,,,,,,,,,286178,,,,
,,,,,,,,,,,,,,286190,,,,
,,,,,,,,,,,,,,286299,,,,
,,,,,,,,,,,,,,286302,,,,
,,,,,,,,,,,,,,286321,,,,
,,,,,,,,,,,,,,286360,,,,
,,,,,,,,,,,,,,286378,,,,
,,,,,,,,,,,,,,286381,,,,
,,,,,,,,,,,,,,286442,,,,
,,,,,,,,,,,,,,286527,,,,
,,,,,,,,,,,,,,286583,,,,
,,,,,,,,,,,,,,286625,,,,
,,,,,,,,,,,,,,286753,,,,
,,,,,,,,,,,,,,286815,,,,
,,,,,,,,,,,,,,286870,,,,
,,,,,,,,,,,,,,287031,,,,
,,,,,,,,,,,,,,287141,,,,
,,,,,,,,,,,,,,287155,,,,
,,,,,,,,,,,,,,287156,,,,
,,,,,,,,,,,,,,287193,,,,
,,,,,,,,,,,,,,287217,,,,
,,,,,,,,,,,,,,287256,,,,
,,,,,,,,,,,,,,287279,,,,
,,,,,,,,,,,,,,287280,,,,
,,,,,,,,,,,,,,287297,,,,
,,,,,,,,,,,,,,287312,,,,
,,,,,,,,,,,,,,287323,,,,
,,,,,,,,,,,,,,287328,,,,
,,,,,,,,,,,,,,287330,,,,
,,,,,,,,,,,,,,287424,,,,
,,,,,,,,,,,,,,287568,,,,
,,,,,,,,,,,,,,287599,,,,
,,,,,,,,,,,,,,287608,,,,
,,,,,,,,,,,,,,287640,,,,
,,,,,,,,,,,,,,287697,,,,
,,,,,,,,,,,,,,287714,,,,
,,,,,,,,,,,,,,287733,,,,
,,,,,,,,,,,,,,287734,,,,
,,,,,,,,,,,,,,287751,,,,
,,,,,,,,,,,,,,287752,,,,
,,,,,,,,,,,,,,287803,,,,
,,,,,,,,,,,,,,287848,,,,
,,,,,,,,,,,,,,287934,,,,
,,,,,,,,,,,,,,287943,,,,
,,,,,,,,,,,,,,287961,,,,
,,,,,,,,,,,,,,288021,,,,
,,,,,,,,,,,,,,288043,,,,
,,,,,,,,,,,,,,288100,,,,
,,,,,,,,,,,,,,288126,,,,
,,,,,,,,,,,,,,288157,,,,
,,,,,,,,,,,,,,288228,,,,
,,,,,,,,,,,,,,288248,,,,
,,,,,,,,,,,,,,288366,,,,
,,,,,,,,,,,,,,288500,,,,
,,,,,,,,,,,,,,288501,,,,
,,,,,,,,,,,,,,288585,,,,
,,,,,,,,,,,,,,288613,,,,
,,,,,,,,,,,,,,288632,,,,
,,,,,,,,,,,,,,288650,,,,
,,,,,,,,,,,,,,288658,,,,
,,,,,,,,,,,,,,288700,,,,
,,,,,,,,,,,,,,288730,,,,
,,,,,,,,,,,,,,288739,,,,
,,,,,,,,,,,,,,288753,,,,
,,,,,,,,,,,,,,288882,,,,
,,,,,,,,,,,,,,288911,,,,
,,,,,,,,,,,,,,288920,,,,
,,,,,,,,,,,,,,288926,,,,
,,,,,,,,,,,,,,288973,,,,
,,,,,,,,,,,,,,289000,,,,
,,,,,,,,,,,,,,289026,,,,
,,,,,,,,,,,,,,289067,,,,
,,,,,,,,,,,,,,289097,,,,
,,,,,,,,,,,,,,289125,,,,
,,,,,,,,,,,,,,289132,,,,
,,,,,,,,,,,,,,289283,,,,
,,,,,,,,,,,,,,289304,,,,
,,,,,,,,,,,,,,289376,,,,
,,,,,,,,,,,,,,289440,,,,
,,,,,,,,,,,,,,289511,,,,
,,,,,,,,,,,,,,289542,,,,
,,,,,,,,,,,,,,289550,,,,
,,,,,,,,,,,,,,289628,,,,
,,,,,,,,,,,,,,289728,,,,
,,,,,,,,,,,,,,289799,,,,
,,,,,,,,,,,,,,289804,,,,
,,,,,,,,,,,,,,289812,,,,
,,,,,,,,,,,,,,289910,,,,
,,,,,,,,,,,,,,289939,,,,
,,,,,,,,,,,,,,289948,,,,
,,,,,,,,,,,,,,290000,,,,
,,,,,,,,,,,,,,290054,,,,
,,,,,,,,,,,,,,290098,,,,
,,,,,,,,,,,,,,290116,,,,
,,,,,,,,,,,,,,290125,,,,
,,,,,,,,,,,,,,290283,,,,
,,,,,,,,,,,,,,290304,,,,
,,,,,,,,,,,,,,290313,,,,
,,,,,,,,,,,,,,290331,,,,
,,,,,,,,,,,,,,290405,,,,
,,,,,,,,,,,,,,290434,,,,
,,,,,,,,,,,,,,290467,,,,
,,,,,,,,,,,,,,290616,,,,
,,,,,,,,,,,,,,290658,,,,
,,,,,,,,,,,,,,290669,,,,
,,,,,,,,,,,,,,290728,,,,
,,,,,,,,,,,,,,290742,,,,
,,,,,,,,,,,,,,290756,,,,
,,,,,,,,,,,,,,290779,,,,
,,,,,,,,,,,,,,290790,,,,
,,,,,,,,,,,,,,291060,,,,
,,,,,,,,,,,,,,291138,,,,
,,,,,,,,,,,,,,291160,,,,
,,,,,,,,,,,,,,291204,,,,
,,,,,,,,,,,,,,291221,,,,
,,,,,,,,,,,,,,291333,,,,
,,,,,,,,,,,,,,291363,,,,
,,,,,,,,,,,,,,291367,,,,
,,,,,,,,,,,,,,291391,,,,
,,,,,,,,,,,,,,291407,,,,
,,,,,,,,,,,,,,291583,,,,
,,,,,,,,,,,,,,291584,,,,
,,,,,,,,,,,,,,291650,,,,
,,,,,,,,,,,,,,291655,,,,
,,,,,,,,,,,,,,291669,,,,
,,,,,,,,,,,,,,291671,,,,
,,,,,,,,,,,,,,291695,,,,
,,,,,,,,,,,,,,291740,,,,
,,,,,,,,,,,,,,291828,,,,
,,,,,,,,,,,,,,291910,,,,
,,,,,,,,,,,,,,291926,,,,
,,,,,,,,,,,,,,292052,,,,
,,,,,,,,,,,,,,292144,,,,
,,,,,,,,,,,,,,292203,,,,
,,,,,,,,,,,,,,292264,,,,
,,,,,,,,,,,,,,292327,,,,
,,,,,,,,,,,,,,292393,,,,
,,,,,,,,,,,,,,292400,,,,
,,,,,,,,,,,,,,292431,,,,
,,,,,,,,,,,,,,292432,,,,
,,,,,,,,,,,,,,292499,,,,
,,,,,,,,,,,,,,292505,,,,
,,,,,,,,,,,,,,292541,,,,
,,,,,,,,,,,,,,292628,,,,
,,,,,,,,,,,,,,292656,,,,
,,,,,,,,,,,,,,292676,,,,
,,,,,,,,,,,,,,292678,,,,
,,,,,,,,,,,,,,292723,,,,
,,,,,,,,,,,,,,292724,,,,
,,,,,,,,,,,,,,293058,,,,
,,,,,,,,,,,,,,293111,,,,
,,,,,,,,,,,,,,293247,,,,
,,,,,,,,,,,,,,293265,,,,
,,,,,,,,,,,,,,293268,,,,
,,,,,,,,,,,,,,293333,,,,
,,,,,,,,,,,,,,293337,,,,
,,,,,,,,,,,,,,293425,,,,
,,,,,,,,,,,,,,293484,,,,
,,,,,,,,,,,,,,293517,,,,
,,,,,,,,,,,,,,293526,,,,
,,,,,,,,,,,,,,293560,,,,
,,,,,,,,,,,,,,293578,,,,
,,,,,,,,,,,,,,293640,,,,
,,,,,,,,,,,,,,293670,,,,
,,,,,,,,,,,,,,293720,,,,
,,,,,,,,,,,,,,293766,,,,
,,,,,,,,,,,,,,293779,,,,
,,,,,,,,,,,,,,293834,,,,
,,,,,,,,,,,,,,293928,,,,
,,,,,,,,,,,,,,293975,,,,
